title,offer-price,actual-price,link
"ASUS Vivobook 16"" FHD+ (1920 X 1200), 60Hz 300Nits, Core i5-12500H, (16GB RAM/512GB SSD/Intel Iris X? Graphics/Win 11/Office Home/Fingerprint/42Whr Battery/Transparent Silver/1.88Kg), X1605ZAC-MB541WS","53,899","69,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToyNDE2OTQ1MTI1NzMzNTQzOjE3NDIwNjM4Nzk6c3BfYXRmOjMwMDMzMTk5ODI1MTkzMjo6MDo6&url=%2FASUS-i5-12500H-Fingerprint-Transparent-X1605ZAC-MB541WS%2Fdp%2FB0DGLCTZXX%2Fref%3Dsr_1_1_sspa%3Fcrid%3DGFI49IGY21O8%26dib%3DeyJ2IjoiMSJ9.oph2aPwiI4q4HWU-yTzPhob3gk0hWAs3wtyVTXfwY01RZVMKwmpyJaRTW5Hamo4KfxWpnuBD2GdXlmZlzvccKYwfDHbF9iwp__knv-HVy9i8UR0CeEvMpEnRH4MtgrJz62SHSlZsnYBAMNWFjUNH7hhs0-6BpdaWb3FaVQV93XwE3RiYC9BriL6d6IObTFMC2LTe8CnnC7TUiqrsMyf6WXOfOjv9xay8ZvkAjE1QhYU.HiKhoV3PyCiTPI-elJlSBX7yBbDbX7zdUOBrr1AzWo4%26dib_tag%3Dse%26keywords%3DAsus%2Blaptop%26nsdOptOutParam%3Dtrue%26qid%3D1742063878%26sprefix%3Dasus%2Blaptop%252Caps%252C356%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"ASUS Vivobook 15, 15.6"" FHD,13th Gen Intel Core i7-13620H, Thin & Light Laptop(16GB/512GB/Intel Iris Xᵉ iGPU/Windows 11/MS Office 365 Basic (1Year)*/Office 2024/Cool Silver/1.7 Kg), X1502VA-BQ837WS","66,990","85,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToyNDE2OTQ1MTI1NzMzNTQzOjE3NDIwNjM4Nzk6c3BfYXRmOjMwMDQ5NjI1MjMzNTQzMjo6MDo6&url=%2FASUS-Vivobook-i7-13620H-Windows-X1502VA-BQ837WS%2Fdp%2FB0DYDZF2DQ%2Fref%3Dsr_1_2_sspa%3Fcrid%3DGFI49IGY21O8%26dib%3DeyJ2IjoiMSJ9.oph2aPwiI4q4HWU-yTzPhob3gk0hWAs3wtyVTXfwY01RZVMKwmpyJaRTW5Hamo4KfxWpnuBD2GdXlmZlzvccKYwfDHbF9iwp__knv-HVy9i8UR0CeEvMpEnRH4MtgrJz62SHSlZsnYBAMNWFjUNH7hhs0-6BpdaWb3FaVQV93XwE3RiYC9BriL6d6IObTFMC2LTe8CnnC7TUiqrsMyf6WXOfOjv9xay8ZvkAjE1QhYU.HiKhoV3PyCiTPI-elJlSBX7yBbDbX7zdUOBrr1AzWo4%26dib_tag%3Dse%26keywords%3DAsus%2Blaptop%26nsdOptOutParam%3Dtrue%26qid%3D1742063878%26sprefix%3Dasus%2Blaptop%252Caps%252C356%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Dell Inspiron 3530 Laptop, 13th Gen Intel Core i5-1334U Processor, 16GB, 512GB SSD, 15.6""(39.62cm) FHD 120Hz 250 nits, Backlit KB, Windows 11 + Mso'21 & 15 Month McAfee, Silver, Thin & Light- 1.62kg","57,490","72,598",https://amazon.in//sspa/click?ie=UTF8&spc=MToyNDE2OTQ1MTI1NzMzNTQzOjE3NDIwNjM4Nzk6c3BfbXRmOjMwMDM4NTAxNTE3NDMzMjo6MDo6&url=%2FDell-Inspiron-i5-1334U-Processor-39-62cm%2Fdp%2FB0D2Y1BLDT%2Fref%3Dsr_1_11_sspa%3Fcrid%3DGFI49IGY21O8%26dib%3DeyJ2IjoiMSJ9.oph2aPwiI4q4HWU-yTzPhob3gk0hWAs3wtyVTXfwY01RZVMKwmpyJaRTW5Hamo4KfxWpnuBD2GdXlmZlzvccKYwfDHbF9iwp__knv-HVy9i8UR0CeEvMpEnRH4MtgrJz62SHSlZsnYBAMNWFjUNH7hhs0-6BpdaWb3FaVQV93XwE3RiYC9BriL6d6IObTFMC2LTe8CnnC7TUiqrsMyf6WXOfOjv9xay8ZvkAjE1QhYU.HiKhoV3PyCiTPI-elJlSBX7yBbDbX7zdUOBrr1AzWo4%26dib_tag%3Dse%26keywords%3DAsus%2Blaptop%26nsdOptOutParam%3Dtrue%26qid%3D1742063878%26sprefix%3Dasus%2Blaptop%252Caps%252C356%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"ASUS Vivobook Go 15 (2023), AMD Ryzen 3 7320U, 15.6-inch (39.62 cm) FHD, Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/Alexa Built-in/Mixed Black/1.63 kg), E1504FA-NJ322WS","29,990","50,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToyNDE2OTQ1MTI1NzMzNTQzOjE3NDIwNjM4Nzk6c3BfbXRmOjMwMDM0MDIzNzUwMjMzMjo6MDo6&url=%2FASUS-Vivobook-15-6-inch-Windows-E1504FA-NJ322WS%2Fdp%2FB0BTWDRKG1%2Fref%3Dsr_1_12_sspa%3Fcrid%3DGFI49IGY21O8%26dib%3DeyJ2IjoiMSJ9.oph2aPwiI4q4HWU-yTzPhob3gk0hWAs3wtyVTXfwY01RZVMKwmpyJaRTW5Hamo4KfxWpnuBD2GdXlmZlzvccKYwfDHbF9iwp__knv-HVy9i8UR0CeEvMpEnRH4MtgrJz62SHSlZsnYBAMNWFjUNH7hhs0-6BpdaWb3FaVQV93XwE3RiYC9BriL6d6IObTFMC2LTe8CnnC7TUiqrsMyf6WXOfOjv9xay8ZvkAjE1QhYU.HiKhoV3PyCiTPI-elJlSBX7yBbDbX7zdUOBrr1AzWo4%26dib_tag%3Dse%26keywords%3DAsus%2Blaptop%26nsdOptOutParam%3Dtrue%26qid%3D1742063878%26sprefix%3Dasus%2Blaptop%252Caps%252C356%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"ASUS Vivobook 16X, 16"" FHD+, 144Hz 300nits, Intel Core i5-12500H 2.5 GHz, Creator/Gaming Laptop (16GB RAM/512GB SSD/RTX 2050/win 11/Office Home/50WHr Battery/Cool Silver/1.80 kg), K3605ZF-RP258WS","59,990","77,990",https://amazon.in//ASUS-Vivobook-300nits-i5-12500H-K3605ZF-RP258WS/dp/B09LCJ87VC/ref=sr_1_13?crid=GFI49IGY21O8&dib=eyJ2IjoiMSJ9.oph2aPwiI4q4HWU-yTzPhob3gk0hWAs3wtyVTXfwY01RZVMKwmpyJaRTW5Hamo4KfxWpnuBD2GdXlmZlzvccKYwfDHbF9iwp__knv-HVy9i8UR0CeEvMpEnRH4MtgrJz62SHSlZsnYBAMNWFjUNH7hhs0-6BpdaWb3FaVQV93XwE3RiYC9BriL6d6IObTFMC2LTe8CnnC7TUiqrsMyf6WXOfOjv9xay8ZvkAjE1QhYU.HiKhoV3PyCiTPI-elJlSBX7yBbDbX7zdUOBrr1AzWo4&dib_tag=se&keywords=Asus+laptop&nsdOptOutParam=true&qid=1742063878&sprefix=asus+laptop%2Caps%2C356&sr=8-13
"ASUS Vivobook 15, Intel Core i5-1235U 12th Gen, 15.6"" (39.62 cm) FHD, Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office 2021/Backlit Keyboard/Quiet Blue/1.7 kg), X1504ZA-NJ521WS","42,990","59,990",https://amazon.in//ASUS-Vivobook-i5-1235U-Keyboard-X1504ZA-NJ521WS/dp/B0C8K26BK8/ref=sr_1_14?crid=GFI49IGY21O8&dib=eyJ2IjoiMSJ9.oph2aPwiI4q4HWU-yTzPhob3gk0hWAs3wtyVTXfwY01RZVMKwmpyJaRTW5Hamo4KfxWpnuBD2GdXlmZlzvccKYwfDHbF9iwp__knv-HVy9i8UR0CeEvMpEnRH4MtgrJz62SHSlZsnYBAMNWFjUNH7hhs0-6BpdaWb3FaVQV93XwE3RiYC9BriL6d6IObTFMC2LTe8CnnC7TUiqrsMyf6WXOfOjv9xay8ZvkAjE1QhYU.HiKhoV3PyCiTPI-elJlSBX7yBbDbX7zdUOBrr1AzWo4&dib_tag=se&keywords=Asus+laptop&nsdOptOutParam=true&qid=1742063878&sprefix=asus+laptop%2Caps%2C356&sr=8-14
"ASUS Vivobook Go 14 (2023), AMD Ryzen 5 7520U, 14-inch (35.56 cm) FHD, Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/Alexa Built-in/Silver/1.38 kg), E1404FA-NK521WS","36,990","62,990",https://amazon.in//ASUS-Vivobook-14-inch-Windows-E1404FA-NK521WS/dp/B0BVMM9CW5/ref=sr_1_15?crid=GFI49IGY21O8&dib=eyJ2IjoiMSJ9.oph2aPwiI4q4HWU-yTzPhob3gk0hWAs3wtyVTXfwY01RZVMKwmpyJaRTW5Hamo4KfxWpnuBD2GdXlmZlzvccKYwfDHbF9iwp__knv-HVy9i8UR0CeEvMpEnRH4MtgrJz62SHSlZsnYBAMNWFjUNH7hhs0-6BpdaWb3FaVQV93XwE3RiYC9BriL6d6IObTFMC2LTe8CnnC7TUiqrsMyf6WXOfOjv9xay8ZvkAjE1QhYU.HiKhoV3PyCiTPI-elJlSBX7yBbDbX7zdUOBrr1AzWo4&dib_tag=se&keywords=Asus+laptop&nsdOptOutParam=true&qid=1742063878&sprefix=asus+laptop%2Caps%2C356&sr=8-15
"ASUS TUF Gaming F15, Intel Core i7 12700H 12th Gen, 15.6-inch FHD 144Hz, Gaming Laptop (16GB/512GB SSD/NVIDIA GeForce RTX 3050/Windows 11/90WHr/Jaeger Gray/2.2 Kg), FX577ZC-HN193W","76,990","1,04,990",https://amazon.in//ASUS-15-6-inch-GeForce-Windows-FX577ZC-HN193W/dp/B0D5DB77RT/ref=sr_1_16?crid=GFI49IGY21O8&dib=eyJ2IjoiMSJ9.oph2aPwiI4q4HWU-yTzPhob3gk0hWAs3wtyVTXfwY01RZVMKwmpyJaRTW5Hamo4KfxWpnuBD2GdXlmZlzvccKYwfDHbF9iwp__knv-HVy9i8UR0CeEvMpEnRH4MtgrJz62SHSlZsnYBAMNWFjUNH7hhs0-6BpdaWb3FaVQV93XwE3RiYC9BriL6d6IObTFMC2LTe8CnnC7TUiqrsMyf6WXOfOjv9xay8ZvkAjE1QhYU.HiKhoV3PyCiTPI-elJlSBX7yBbDbX7zdUOBrr1AzWo4&dib_tag=se&keywords=Asus+laptop&nsdOptOutParam=true&qid=1742063878&sprefix=asus+laptop%2Caps%2C356&sr=8-16
"ASUS Vivobook Go 15 (2023), AMD Ryzen 3 7320U, 15.6-inch (39.62 cm) FHD, Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/Alexa Built-in/Mixed Black/1.63 kg), E1504FA-NJ322WS","29,990","50,990",https://amazon.in//ASUS-Vivobook-15-6-inch-Windows-E1504FA-NJ322WS/dp/B0BTWDRKG1/ref=sr_1_17?crid=GFI49IGY21O8&dib=eyJ2IjoiMSJ9.oph2aPwiI4q4HWU-yTzPhob3gk0hWAs3wtyVTXfwY01RZVMKwmpyJaRTW5Hamo4KfxWpnuBD2GdXlmZlzvccKYwfDHbF9iwp__knv-HVy9i8UR0CeEvMpEnRH4MtgrJz62SHSlZsnYBAMNWFjUNH7hhs0-6BpdaWb3FaVQV93XwE3RiYC9BriL6d6IObTFMC2LTe8CnnC7TUiqrsMyf6WXOfOjv9xay8ZvkAjE1QhYU.HiKhoV3PyCiTPI-elJlSBX7yBbDbX7zdUOBrr1AzWo4&dib_tag=se&keywords=Asus+laptop&nsdOptOutParam=true&qid=1742063878&sprefix=asus+laptop%2Caps%2C356&sr=8-17
"ASUS VivoBook 15 (2022), Intel®Core™ i3-1215U 12th Gen, 15.6"" (39.62 cm) FHD, Thin and Light Laptop (8GB/512 SSD//Windows 11/Office 2021/Backlit KB/Cool Silver/1.7 kg), X1504ZA-NJ322WS","32,990","54,990",https://amazon.in//ASUS-Vivobook-Intel%C2%AECoreTM-i3-1215U-15-6-inch/dp/B0CCKPTMYX/ref=sr_1_18?crid=GFI49IGY21O8&dib=eyJ2IjoiMSJ9.oph2aPwiI4q4HWU-yTzPhob3gk0hWAs3wtyVTXfwY01RZVMKwmpyJaRTW5Hamo4KfxWpnuBD2GdXlmZlzvccKYwfDHbF9iwp__knv-HVy9i8UR0CeEvMpEnRH4MtgrJz62SHSlZsnYBAMNWFjUNH7hhs0-6BpdaWb3FaVQV93XwE3RiYC9BriL6d6IObTFMC2LTe8CnnC7TUiqrsMyf6WXOfOjv9xay8ZvkAjE1QhYU.HiKhoV3PyCiTPI-elJlSBX7yBbDbX7zdUOBrr1AzWo4&dib_tag=se&keywords=Asus+laptop&nsdOptOutParam=true&qid=1742063878&sprefix=asus+laptop%2Caps%2C356&sr=8-18
"ASUS Vivobook S 15 OLED, 2.8K (2880 x 1620) 16:9,Core i9-13900H Processor 2.6 GHz,Light Laptop (16GB RAM/512GB SSD/Windows 11/Office Home/Fingerprint/75WHr Battery/Cool Silver/1.60 kg),S5504VA-MA943WS","91,449","1,16,990",https://amazon.in//ASUS-Vivobook-OLED-2-8K-2880/dp/B09L5K7DM5/ref=sr_1_19?crid=GFI49IGY21O8&dib=eyJ2IjoiMSJ9.oph2aPwiI4q4HWU-yTzPhob3gk0hWAs3wtyVTXfwY01RZVMKwmpyJaRTW5Hamo4KfxWpnuBD2GdXlmZlzvccKYwfDHbF9iwp__knv-HVy9i8UR0CeEvMpEnRH4MtgrJz62SHSlZsnYBAMNWFjUNH7hhs0-6BpdaWb3FaVQV93XwE3RiYC9BriL6d6IObTFMC2LTe8CnnC7TUiqrsMyf6WXOfOjv9xay8ZvkAjE1QhYU.HiKhoV3PyCiTPI-elJlSBX7yBbDbX7zdUOBrr1AzWo4&dib_tag=se&keywords=Asus+laptop&nsdOptOutParam=true&qid=1742063878&sprefix=asus+laptop%2Caps%2C356&sr=8-19
"ASUS Vivobook 15, Thin and Light Laptop, Intel Core i3-1315U 13th Gen, 15.6"" (39.62 cms) FHD (8GB/512GB SSD/Win11/MS Office/Backlit Keyboard/Silver/1.7 kg), X1504VA-NJ320WS","36,799","54,990",https://amazon.in//ASUS-Vivobook-i3-1315U-Integrated-X1504VA-NJ320WS/dp/B0CYTD8DVF/ref=sr_1_20?crid=GFI49IGY21O8&dib=eyJ2IjoiMSJ9.oph2aPwiI4q4HWU-yTzPhob3gk0hWAs3wtyVTXfwY01RZVMKwmpyJaRTW5Hamo4KfxWpnuBD2GdXlmZlzvccKYwfDHbF9iwp__knv-HVy9i8UR0CeEvMpEnRH4MtgrJz62SHSlZsnYBAMNWFjUNH7hhs0-6BpdaWb3FaVQV93XwE3RiYC9BriL6d6IObTFMC2LTe8CnnC7TUiqrsMyf6WXOfOjv9xay8ZvkAjE1QhYU.HiKhoV3PyCiTPI-elJlSBX7yBbDbX7zdUOBrr1AzWo4&dib_tag=se&keywords=Asus+laptop&nsdOptOutParam=true&qid=1742063878&sprefix=asus+laptop%2Caps%2C356&sr=8-20
"ASUS Vivobook Go 14, 14"" FHD (1920 x 1080), AMD Ryzen 5 7520U Processor,(16GB RAM/512GB SSD/AMD Radeon iGPU/Windows 11/MS Office 365 Basic (1Year)*/Office Home 2024/Silver/1.38 kg),E1404FA-NK5541WS","42,432","52,990",https://amazon.in//ASUS-Vivobook-Processor-Windows-E1404FA-NK5541WS/dp/B0DTYPRFVM/ref=sr_1_3?crid=GFI49IGY21O8&dib=eyJ2IjoiMSJ9.oph2aPwiI4q4HWU-yTzPhob3gk0hWAs3wtyVTXfwY01RZVMKwmpyJaRTW5Hamo4KfxWpnuBD2GdXlmZlzvccKYwfDHbF9iwp__knv-HVy9i8UR0CeEvMpEnRH4MtgrJz62SHSlZsnYBAMNWFjUNH7hhs0-6BpdaWb3FaVQV93XwE3RiYC9BriL6d6IObTFMC2LTe8CnnC7TUiqrsMyf6WXOfOjv9xay8ZvkAjE1QhYU.HiKhoV3PyCiTPI-elJlSBX7yBbDbX7zdUOBrr1AzWo4&dib_tag=se&keywords=Asus+laptop&nsdOptOutParam=true&qid=1742063878&sprefix=asus+laptop%2Caps%2C356&sr=8-3
