title,offer-price,actual-price,link
"Acer [Smartchoice Aspire Lite AMD Ryzen 3 5300U Premium Thin and Light Laptop (Windows 11 Home/8 GB RAM/512 GB SSD) AL15-41 with 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG","28,060","47,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4MzY3MjMwMzQzMjczMzQ2OjE3NDIwNjM4Nzk6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDE2NDQ5NTI5MDgzMjo6MDo6&url=%2FAcer-Smartchoice-Premium-Windows-AL15-41%2Fdp%2FB0CWTSF1TK%2Fref%3Dsxin_34_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%253Aamzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%26crid%3DGFI49IGY21O8%26cv_ct_cx%3DAsus%2Blaptop%26keywords%3DAsus%2Blaptop%26nsdOptOutParam%3Dtrue%26pd_rd_i%3DB0CWTSF1TK%26pd_rd_r%3D68063cd8-f044-439a-a16d-ef4181b39dcc%26pd_rd_w%3DvnrhU%26pd_rd_wg%3Dg4dVQ%26pf_rd_p%3Dcd33fa60-47cd-49f3-80b8-24b1f0cbef97%26pf_rd_r%3DNVKNZW7E975E04PY4BH1%26qid%3D1742063878%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dasus%2Blaptop%252Caps%252C356%26sr%3D1-1-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
"ASUS Vivobook Go 15 (2023), AMD Ryzen 5 7520U, 15.6"" (39.62 cm) FHD, Thin & Light Laptop (16GB/512GB SSD/Windows 11/Office 2021/Alexa Built-in/Mixed Black/1.63 kg), E1504FA-NJ542WS","40,990","60,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4MzY3MjMwMzQzMjczMzQ2OjE3NDIwNjM4Nzk6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDI0ODE1Mzk1NDAzMjo6MTo6&url=%2FASUS-Vivobook-Laptop-Windows-E1504FA-NJ542WS%2Fdp%2FB0BTWF2BQX%2Fref%3Dsxin_34_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%253Aamzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%26crid%3DGFI49IGY21O8%26cv_ct_cx%3DAsus%2Blaptop%26keywords%3DAsus%2Blaptop%26nsdOptOutParam%3Dtrue%26pd_rd_i%3DB0BTWF2BQX%26pd_rd_r%3D68063cd8-f044-439a-a16d-ef4181b39dcc%26pd_rd_w%3DvnrhU%26pd_rd_wg%3Dg4dVQ%26pf_rd_p%3Dcd33fa60-47cd-49f3-80b8-24b1f0cbef97%26pf_rd_r%3DNVKNZW7E975E04PY4BH1%26qid%3D1742063878%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dasus%2Blaptop%252Caps%252C356%26sr%3D1-2-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
"ASUS TUF Gaming A15, 15.6"" (39.62cm) FHD 16:9 144Hz, AMD Ryzen 7 7435HS, Gaming Laptop (16 DDR5/512GB SSD/NVIDIA GeForce RTX 2050/Windows 11 Home/Graphite Black/2.30 Kg), FA506NFR-HN045W","58,990","80,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4MzY3MjMwMzQzMjczMzQ2OjE3NDIwNjM4Nzk6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDI0NzM3MjE4NjAzMjo6Mjo6&url=%2FASUS-Gaming-15-6-39-62cm-FA506NFR-HN045W%2Fdp%2FB0CDQ5CW9V%2Fref%3Dsxin_34_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%253Aamzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%26crid%3DGFI49IGY21O8%26cv_ct_cx%3DAsus%2Blaptop%26keywords%3DAsus%2Blaptop%26nsdOptOutParam%3Dtrue%26pd_rd_i%3DB0CDQ5CW9V%26pd_rd_r%3D68063cd8-f044-439a-a16d-ef4181b39dcc%26pd_rd_w%3DvnrhU%26pd_rd_wg%3Dg4dVQ%26pf_rd_p%3Dcd33fa60-47cd-49f3-80b8-24b1f0cbef97%26pf_rd_r%3DNVKNZW7E975E04PY4BH1%26qid%3D1742063878%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dasus%2Blaptop%252Caps%252C356%26sr%3D1-3-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
"ASUS Vivobook 15, 15.6"" FHD (1920 x 1080), Intel Core i3-1215U Processor 1.2 GHz, Thin & Light Laptop (16GB RAM/512GB SSD/Integrated Graphics/Windows 11/Office Home/Quiet Blue/1.7 Kg), X1504ZA-NJ341WS","37,990","54,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4MzY3MjMwMzQzMjczMzQ2OjE3NDIwNjM4Nzk6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDQ1ODQ3MDc4ODYzMjo6Mzo6&url=%2FASUS-Vivobook-Processor-Integrated-X1504ZA-NJ341WS%2Fdp%2FB0DQNRCN61%2Fref%3Dsxin_34_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%253Aamzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%26crid%3DGFI49IGY21O8%26cv_ct_cx%3DAsus%2Blaptop%26keywords%3DAsus%2Blaptop%26nsdOptOutParam%3Dtrue%26pd_rd_i%3DB0DQNRCN61%26pd_rd_r%3D68063cd8-f044-439a-a16d-ef4181b39dcc%26pd_rd_w%3DvnrhU%26pd_rd_wg%3Dg4dVQ%26pf_rd_p%3Dcd33fa60-47cd-49f3-80b8-24b1f0cbef97%26pf_rd_r%3DNVKNZW7E975E04PY4BH1%26qid%3D1742063878%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dasus%2Blaptop%252Caps%252C356%26sr%3D1-4-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
"Dell Inspiron 3530 13th Gen Laptop, Intel Core i3-1305U/8GB/512GB SSD/15.6"" (39.62cm) FHD WVA AG 120Hz 250 nits Narrow Border/Windows 11+MSO'21/McAfee 15 Month/Platinum Silver/1.62kg","36,910","48,827",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4MzY3MjMwMzQzMjczMzQ2OjE3NDIwNjM4Nzk6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDQ2MDYwMDA5NTMzMjo6NDo6&url=%2FDell-Inspiron-3530-i3-1305U-Platinum%2Fdp%2FB0DRKPKH7P%2Fref%3Dsxin_34_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%253Aamzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%26crid%3DGFI49IGY21O8%26cv_ct_cx%3DAsus%2Blaptop%26keywords%3DAsus%2Blaptop%26nsdOptOutParam%3Dtrue%26pd_rd_i%3DB0DRKPKH7P%26pd_rd_r%3D68063cd8-f044-439a-a16d-ef4181b39dcc%26pd_rd_w%3DvnrhU%26pd_rd_wg%3Dg4dVQ%26pf_rd_p%3Dcd33fa60-47cd-49f3-80b8-24b1f0cbef97%26pf_rd_r%3DNVKNZW7E975E04PY4BH1%26qid%3D1742063878%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dasus%2Blaptop%252Caps%252C356%26sr%3D1-5-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
"HP Victus, 12th Gen Intel Core i5-12450H, RTX 3050, 16GB DDR4,512GB SSD (Win11, Office21, Blue,2.3kg) 144Hz, 9MS, IPS, 15.6-inch(39.6cm), Flicker-free Gaming Laptop, Enhanced Cooling,fa1379TX/fa1412tx","65,499","79,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToyNDE2OTQ1MTI1NzMzNTQzOjE3NDIwNjM4Nzk6c3BfYnRmOjMwMDQ4ODA1MjgyNzUzMjo6MDo6&url=%2FHP-i5-12450H-15-6-inch-Backlit-fa1379TX%2Fdp%2FB0D81CP85D%2Fref%3Dsr_1_21_sspa%3Fcrid%3DGFI49IGY21O8%26dib%3DeyJ2IjoiMSJ9.oph2aPwiI4q4HWU-yTzPhob3gk0hWAs3wtyVTXfwY01RZVMKwmpyJaRTW5Hamo4KfxWpnuBD2GdXlmZlzvccKYwfDHbF9iwp__knv-HVy9i8UR0CeEvMpEnRH4MtgrJz62SHSlZsnYBAMNWFjUNH7hhs0-6BpdaWb3FaVQV93XwE3RiYC9BriL6d6IObTFMC2LTe8CnnC7TUiqrsMyf6WXOfOjv9xay8ZvkAjE1QhYU.HiKhoV3PyCiTPI-elJlSBX7yBbDbX7zdUOBrr1AzWo4%26dib_tag%3Dse%26keywords%3DAsus%2Blaptop%26nsdOptOutParam%3Dtrue%26qid%3D1742063878%26sprefix%3Dasus%2Blaptop%252Caps%252C356%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"HP Victus, 13th Gen Intel Core i5-13420H, 6 GB RTX 3050 (Upgradable 16GB DDR4, 512GB SSD)Microsoft365* Office24,Win11, 144Hz,300 nits,IPS, 15.6inch(39.6cm)FHD Gaming Laptop, Mica Silver,2.3kg,fa2700TX","76,490","88,474",https://amazon.in//sspa/click?ie=UTF8&spc=MToyNDE2OTQ1MTI1NzMzNTQzOjE3NDIwNjM4Nzk6c3BfYnRmOjMwMDQ5NjI1NjQ1MTczMjo6MDo6&url=%2FHP-i5-13420H-Upgradable-Microsoft365-fa2700TX%2Fdp%2FB0DTYZ2CG8%2Fref%3Dsr_1_22_sspa%3Fcrid%3DGFI49IGY21O8%26dib%3DeyJ2IjoiMSJ9.oph2aPwiI4q4HWU-yTzPhob3gk0hWAs3wtyVTXfwY01RZVMKwmpyJaRTW5Hamo4KfxWpnuBD2GdXlmZlzvccKYwfDHbF9iwp__knv-HVy9i8UR0CeEvMpEnRH4MtgrJz62SHSlZsnYBAMNWFjUNH7hhs0-6BpdaWb3FaVQV93XwE3RiYC9BriL6d6IObTFMC2LTe8CnnC7TUiqrsMyf6WXOfOjv9xay8ZvkAjE1QhYU.HiKhoV3PyCiTPI-elJlSBX7yBbDbX7zdUOBrr1AzWo4%26dib_tag%3Dse%26keywords%3DAsus%2Blaptop%26nsdOptOutParam%3Dtrue%26qid%3D1742063878%26sprefix%3Dasus%2Blaptop%252Caps%252C356%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"ASUS Vivobook Go 14, Thin and Light Laptop, AMD Ryzen 3 7320U, 14"" (35.56 cm) FHD, (8 GB RAM/512GB SSD/Windows 11/Office 2021/42WHr /Black/1.38 kg), E1404FA-NK325WS","29,990","50,990",https://amazon.in//ASUS-Vivobook-Laptop-Office-E1404FA-NK325WS/dp/B0CCPC5DTD/ref=sr_1_4?crid=GFI49IGY21O8&dib=eyJ2IjoiMSJ9.oph2aPwiI4q4HWU-yTzPhob3gk0hWAs3wtyVTXfwY01RZVMKwmpyJaRTW5Hamo4KfxWpnuBD2GdXlmZlzvccKYwfDHbF9iwp__knv-HVy9i8UR0CeEvMpEnRH4MtgrJz62SHSlZsnYBAMNWFjUNH7hhs0-6BpdaWb3FaVQV93XwE3RiYC9BriL6d6IObTFMC2LTe8CnnC7TUiqrsMyf6WXOfOjv9xay8ZvkAjE1QhYU.HiKhoV3PyCiTPI-elJlSBX7yBbDbX7zdUOBrr1AzWo4&dib_tag=se&keywords=Asus+laptop&nsdOptOutParam=true&qid=1742063878&sprefix=asus+laptop%2Caps%2C356&sr=8-4
"ASUS Vivobook Go 14, AMD Ryzen 3 7320U, Thin and Light Laptop, 14"" (35.56 cm) FHD, (8 GB RAM/512GB SSD/Windows 11/Office 2021/42WHr /Silver/1.38 kg), E1404FA-NK321WS","29,990",N/A,https://amazon.in//ASUS-Vivobook-14-inch-Windows-E1404FA-NK321WS/dp/B0C37G66X5/ref=sr_1_5?crid=GFI49IGY21O8&dib=eyJ2IjoiMSJ9.oph2aPwiI4q4HWU-yTzPhob3gk0hWAs3wtyVTXfwY01RZVMKwmpyJaRTW5Hamo4KfxWpnuBD2GdXlmZlzvccKYwfDHbF9iwp__knv-HVy9i8UR0CeEvMpEnRH4MtgrJz62SHSlZsnYBAMNWFjUNH7hhs0-6BpdaWb3FaVQV93XwE3RiYC9BriL6d6IObTFMC2LTe8CnnC7TUiqrsMyf6WXOfOjv9xay8ZvkAjE1QhYU.HiKhoV3PyCiTPI-elJlSBX7yBbDbX7zdUOBrr1AzWo4&dib_tag=se&keywords=Asus+laptop&nsdOptOutParam=true&qid=1742063878&sprefix=asus+laptop%2Caps%2C356&sr=8-5
"ASUS Vivobook 16"" FHD+ (1920 X 1200), 60Hz 300Nits, Core i5-12500H, (16GB RAM/512GB SSD/Intel Iris X? Graphics/Win 11/Office Home/Fingerprint/42Whr Battery/Transparent Silver/1.88Kg), X1605ZAC-MB541WS","53,899","69,990",https://amazon.in//ASUS-i5-12500H-Fingerprint-Transparent-X1605ZAC-MB541WS/dp/B0DGLCTZXX/ref=sr_1_6?crid=GFI49IGY21O8&dib=eyJ2IjoiMSJ9.oph2aPwiI4q4HWU-yTzPhob3gk0hWAs3wtyVTXfwY01RZVMKwmpyJaRTW5Hamo4KfxWpnuBD2GdXlmZlzvccKYwfDHbF9iwp__knv-HVy9i8UR0CeEvMpEnRH4MtgrJz62SHSlZsnYBAMNWFjUNH7hhs0-6BpdaWb3FaVQV93XwE3RiYC9BriL6d6IObTFMC2LTe8CnnC7TUiqrsMyf6WXOfOjv9xay8ZvkAjE1QhYU.HiKhoV3PyCiTPI-elJlSBX7yBbDbX7zdUOBrr1AzWo4&dib_tag=se&keywords=Asus+laptop&nsdOptOutParam=true&qid=1742063878&sprefix=asus+laptop%2Caps%2C356&sr=8-6
"ASUS Vivobook Go 15 (2023), AMD Ryzen 5 7520U, 15.6"" (39.62 cm) FHD, Thin & Light Laptop (16GB/512GB SSD/Windows 11/Office 2021/Alexa Built-in/Mixed Black/1.63 kg), E1504FA-NJ542WS","40,990","60,990",https://amazon.in//ASUS-Vivobook-Laptop-Windows-E1504FA-NJ542WS/dp/B0BTWF2BQX/ref=sr_1_7?crid=GFI49IGY21O8&dib=eyJ2IjoiMSJ9.oph2aPwiI4q4HWU-yTzPhob3gk0hWAs3wtyVTXfwY01RZVMKwmpyJaRTW5Hamo4KfxWpnuBD2GdXlmZlzvccKYwfDHbF9iwp__knv-HVy9i8UR0CeEvMpEnRH4MtgrJz62SHSlZsnYBAMNWFjUNH7hhs0-6BpdaWb3FaVQV93XwE3RiYC9BriL6d6IObTFMC2LTe8CnnC7TUiqrsMyf6WXOfOjv9xay8ZvkAjE1QhYU.HiKhoV3PyCiTPI-elJlSBX7yBbDbX7zdUOBrr1AzWo4&dib_tag=se&keywords=Asus+laptop&nsdOptOutParam=true&qid=1742063878&sprefix=asus+laptop%2Caps%2C356&sr=8-7
"ASUS VivoBook 15, 12th Gen, Intel Core i3-1215U, 15.6"" FHD, Thin & Light Laptop (8GB/512/Integrated Intel UHD Graphics/Windows 11/Office 2021/Backlit KB/Icelight Silver/1.7 kg), X1502ZA-EJ322WS","32,790","54,990",https://amazon.in//ASUS-VivoBook-Intel%C2%AECoreTM-i3-1215U-X1502ZA-EJ322WS/dp/B0BTVMBLZC/ref=sr_1_8?crid=GFI49IGY21O8&dib=eyJ2IjoiMSJ9.oph2aPwiI4q4HWU-yTzPhob3gk0hWAs3wtyVTXfwY01RZVMKwmpyJaRTW5Hamo4KfxWpnuBD2GdXlmZlzvccKYwfDHbF9iwp__knv-HVy9i8UR0CeEvMpEnRH4MtgrJz62SHSlZsnYBAMNWFjUNH7hhs0-6BpdaWb3FaVQV93XwE3RiYC9BriL6d6IObTFMC2LTe8CnnC7TUiqrsMyf6WXOfOjv9xay8ZvkAjE1QhYU.HiKhoV3PyCiTPI-elJlSBX7yBbDbX7zdUOBrr1AzWo4&dib_tag=se&keywords=Asus+laptop&nsdOptOutParam=true&qid=1742063878&sprefix=asus+laptop%2Caps%2C356&sr=8-8
"ASUS Vivobook 15, 12th Gen, Intel Core i3-1215U, 15.6"" FHD, Fingerprint Sensor (8GB/512GB/Integrated Intel UHD Graphics/Windows 11 Home/Office 2021/42WHr Battery/Cool Silver/1.7 Kg), X1504ZA-NJ320WS","32,990","54,990",https://amazon.in//ASUS-Vivobook-IntelCore-Fingerprint-X1404ZA-NK321WS/dp/B0CCP9PH92/ref=sr_1_9?crid=GFI49IGY21O8&dib=eyJ2IjoiMSJ9.oph2aPwiI4q4HWU-yTzPhob3gk0hWAs3wtyVTXfwY01RZVMKwmpyJaRTW5Hamo4KfxWpnuBD2GdXlmZlzvccKYwfDHbF9iwp__knv-HVy9i8UR0CeEvMpEnRH4MtgrJz62SHSlZsnYBAMNWFjUNH7hhs0-6BpdaWb3FaVQV93XwE3RiYC9BriL6d6IObTFMC2LTe8CnnC7TUiqrsMyf6WXOfOjv9xay8ZvkAjE1QhYU.HiKhoV3PyCiTPI-elJlSBX7yBbDbX7zdUOBrr1AzWo4&dib_tag=se&keywords=Asus+laptop&nsdOptOutParam=true&qid=1742063878&sprefix=asus+laptop%2Caps%2C356&sr=8-9
"ASUS TUF Gaming A15, AMD Ryzen 7 7435Hs, 15.6-Inch, FHD 144Hz, Gaming Laptop (16GB RAM/512GB SSD/NVIDIA Geforce RTX 3050/Windows 11/48WHR/Graphite Black/2.3 Kg), FA506NCR-HN054W","63,990","83,990",https://amazon.in//ASUS-15-6-inch-GeForce-Graphite-FA506NCR-HN054W/dp/B0D5DFR78J/ref=sr_1_10?crid=GFI49IGY21O8&dib=eyJ2IjoiMSJ9.oph2aPwiI4q4HWU-yTzPhob3gk0hWAs3wtyVTXfwY01RZVMKwmpyJaRTW5Hamo4KfxWpnuBD2GdXlmZlzvccKYwfDHbF9iwp__knv-HVy9i8UR0CeEvMpEnRH4MtgrJz62SHSlZsnYBAMNWFjUNH7hhs0-6BpdaWb3FaVQV93XwE3RiYC9BriL6d6IObTFMC2LTe8CnnC7TUiqrsMyf6WXOfOjv9xay8ZvkAjE1QhYU.HiKhoV3PyCiTPI-elJlSBX7yBbDbX7zdUOBrr1AzWo4&dib_tag=se&keywords=Asus+laptop&nsdOptOutParam=true&qid=1742063878&sprefix=asus+laptop%2Caps%2C356&sr=8-10
